,Name_x,ZLook,ZWif,ZCon,OLook,OWif,OCon,K%,xK,BB%,xBB,K-BB%,xK-BB
0,Adam Morgan,0.17280000000000004,0.050284800000000025,0.20891520000000002,0.30666000000000004,0.12237885999999999,0.10896114000000001,0.324,0.34450000000000003,0.054000000000000006,0.0605,0.27,0.26599999999999996
1,Lou Trivino,0.189952,0.06312140799999999,0.258926592,0.29952000000000006,0.11024,0.11024,0.364,0.35069999999999996,0.023,0.06459999999999999,0.341,0.3087
2,Victor Alcantara,0.1302,0.04723739999999997,0.2425626,0.335814,0.04124280599999998,0.199943194,0.111,0.14609999999999998,0.067,0.050400000000000014,0.044000000000000004,0.0936
3,Luke Jackson,0.12776399999999996,0.01151085599999998,0.23872514399999997,0.34809899999999994,0.137967768,0.10493323200000002,0.306,0.25270000000000004,0.122,0.0953,0.184,0.17660000000000003
4,Hector Neris,0.11288699999999997,0.048388182000000016,0.17772481799999998,0.33741699999999997,0.12042316,0.11115983999999998,0.386,0.31400000000000006,0.046,0.08080000000000001,0.341,0.2411
5,Jefry Rodriguez,0.12725999999999996,0.016686180000000016,0.27605382,0.34104,0.04269719999999999,0.17626280000000003,0.125,0.13760000000000003,0.042,0.0382,0.083,0.06760000000000001
6,Clay Buchholz,0.07623499999999998,0.040483155,0.278281845,0.31119,0.04500111,0.14980889,0.121,0.1428,0.046,0.05500000000000001,0.076,0.1076
7,Clayton Kershaw,0.113702,0.039865229999999995,0.25543277,0.316725,0.07931,0.118965,0.271,0.2023,0.083,0.05940000000000001,0.188,0.1487
8,Domingo German,0.157586,0.044791208000000006,0.21562279199999998,0.35546999999999995,0.09947091000000001,0.12305908999999997,0.28300000000000003,0.28840000000000005,0.081,0.0605,0.20199999999999999,0.2231
9,Trevor Williams,0.11969999999999996,0.04987529999999998,0.2804247000000001,0.37205099999999997,0.05704440299999999,0.17390459699999997,0.168,0.18469999999999998,0.048,0.05460000000000002,0.12,0.1406
10,Yoshihisa Hirano,0.11169600000000002,0.039162336,0.20714166399999998,0.33132900000000004,0.1028355,0.1028355,0.304,0.25880000000000003,0.087,0.0689,0.217,0.1858
11,Marcus Walden,0.12210000000000003,0.04643869999999998,0.23846130000000001,0.37018199999999996,0.09976464800000001,0.12905335199999998,0.326,0.2646,0.087,0.0643,0.239,0.19149999999999998
