"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","playerid"
"Adam Morgan","Phillies","43.0 %","60.0 %","50.4 %","47.1 %","80.6 %","64.3 %","43.2 %","73.0 %","18.0 %","12580"
"Lou Trivino","Athletics","42.4 %","62.9 %","52.9 %","50.0 %","80.4 %","68.5 %","51.2 %","63.6 %","16.7 %","15043"
"Victor Alcantara","Tigers","41.8 %","69.0 %","53.3 %","82.9 %","83.7 %","83.3 %","42.0 %","60.0 %","8.9 %","15028"
"Luke Jackson","Braves","41.1 %","66.2 %","50.6 %","43.2 %","95.4 %","69.0 %","37.8 %","61.2 %","15.7 %","11752"
"Hector Neris","Phillies","40.7 %","66.7 %","49.5 %","48.0 %","78.6 %","62.0 %","33.9 %","63.6 %","18.8 %","11804"
"Jefry Rodriguez","Indians","39.1 %","69.7 %","51.9 %","80.5 %","94.3 %","88.3 %","42.0 %","50.0 %","6.0 %","17018"
"Clay Buchholz","Blue Jays","38.5 %","80.7 %","55.2 %","76.9 %","87.3 %","82.9 %","39.5 %","59.1 %","9.4 %","3543"
"Clayton Kershaw","Dodgers","38.5 %","72.2 %","52.3 %","60.0 %","86.5 %","75.0 %","40.9 %","75.0 %","13.1 %","2036"
"Domingo German","Yankees","38.5 %","62.3 %","48.4 %","55.3 %","82.8 %","70.1 %","41.8 %","59.6 %","14.5 %","17149"
"Trevor Williams","Pirates","38.3 %","73.4 %","54.1 %","75.3 %","84.9 %","81.1 %","45.0 %","68.0 %","10.2 %","16977"
"Yoshihisa Hirano","Diamondbacks","38.3 %","68.8 %","49.2 %","50.0 %","84.1 %","67.1 %","35.8 %","52.2 %","16.2 %","19756"
"Marcus Walden","Red Sox","38.2 %","70.0 %","51.2 %","56.4 %","83.7 %","71.6 %","40.7 %","63.0 %","14.5 %","8004"
"Sean Doolittle","Nationals","38.2 %","82.5 %","59.6 %","69.1 %","82.4 %","78.0 %","48.4 %","73.1 %","13.2 %","1581"
