"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Matthew Boyd","Tigers","13.32","2.59","5.14","0.37","36.0 %","7.0 %","29.0 %",".217","1.11",".345","71.4 %","66","38","59","2.96","1.65","1.31","2.60","2.83","15440"
"Joe Musgrove","Pirates","8.46","1.61","5.25","0.00","25.6 %","4.9 %","20.7 %",".169","0.76",".232","77.8 %","19","43","85","0.81","1.88","-1.08","3.67","3.61","12970"
"Max Scherzer","Nationals","12.25","1.39","8.80","0.84","32.6 %","3.7 %","28.9 %",".273","1.24",".395","63.5 %","103","51","59","4.45","2.22","2.23","2.54","2.75","3137"
"Ivan Nova","White Sox","5.82","1.25","4.67","0.00","14.9 %","3.2 %","11.7 %",".311","1.43",".368","53.1 %","141","54","89","6.23","2.35","3.88","3.93","4.29","1994"
"Marcus Stroman","Blue Jays","8.51","3.52","2.42","0.00","22.8 %","9.5 %","13.4 %",".226","1.24",".302","76.3 %","39","54","83","1.76","2.37","-0.61","3.67","4.14","13431"
"James Paxton","Yankees","13.34","2.48","5.38","0.93","36.8 %","6.8 %","29.9 %",".231","1.14",".355","77.2 %","69","53","66","3.10","2.40","0.70","2.89","2.76","11828"
"Carlos Rodon","White Sox","11.25","3.86","2.92","0.32","29.4 %","10.1 %","19.3 %",".179","1.11",".257","68.6 %","66","56","88","2.89","2.45","0.45","3.88","3.84","16137"
"Caleb Smith","Marlins","11.35","2.35","4.83","0.78","33.3 %","6.9 %","26.4 %",".173","0.87",".240","81.4 %","58","59","68","2.35","2.48","-0.13","2.92","3.08","14875"
"Sandy Alcantara","Marlins","7.43","3.13","2.38","0.00","19.0 %","8.0 %","11.0 %",".283","1.48",".356","61.8 %","127","59","98","5.09","2.48","2.61","4.21","4.53","18684"
"Luis Castillo","Reds","12.03","4.11","2.93","0.29","34.2 %","11.7 %","22.5 %",".126","0.88",".197","87.4 %","34","56","76","1.47","2.50","-1.04","3.26","3.51","15689"
"Tyler Glasnow","Rays","8.90","1.84","4.83","0.61","26.1 %","5.4 %","20.7 %",".200","0.92",".257","90.9 %","35","61","74","1.53","2.61","-1.08","3.28","3.49","14374"
"Trevor Bauer","Indians","11.57","3.58","3.23","0.55","32.6 %","10.1 %","22.5 %",".167","0.98",".243","83.3 %","47","61","77","2.20","2.69","-0.49","3.41","3.52","12703"
"Blake Snell","Rays","12.96","1.44","9.00","1.44","40.5 %","4.5 %","36.0 %",".176","0.76",".244","97.0 %","50","65","49","2.16","2.77","-0.61","2.13","2.19","13543"
"Gerrit Cole","Astros","13.50","2.76","4.89","1.23","35.8 %","7.3 %","28.5 %",".228","1.19",".333","47.6 %","122","64","60","5.22","2.78","2.43","2.63","2.89","13125"
