,Name_x,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,playerid,K%,BB%,K-BB%,BABIP,ERA,FIP,xFIP,O-Zone%,ZSwing,ZLook,OSwing,OLook,ZCon,ZWif,OCon,OWif,xK,xK-BB
0,Ivan Nova,0.389,0.6920000000000001,0.515,0.6709999999999999,0.889,0.792,0.413,0.649,0.107,1994,0.149,0.032,0.11699999999999999,0.368,6.23,2.35,3.93,0.538,0.285796,0.12720399999999996,0.20928200000000002,0.328718,0.254072644,0.031723355999999994,0.140428222,0.06885377800000002,0.1951,0.1442
1,Sandy Alcantara,0.38,0.684,0.491,0.607,0.846,0.728,0.36200000000000004,0.55,0.134,18684,0.19,0.08,0.11,0.35600000000000004,5.09,2.48,4.21,0.52,0.24760800000000005,0.114392,0.1976,0.3224,0.20947636800000002,0.03813163200000001,0.1199432,0.0776568,0.2169,0.16219999999999998
2,Trevor Williams,0.377,0.755,0.545,0.747,0.8420000000000001,0.805,0.444,0.7070000000000001,0.106,16977,0.172,0.051,0.121,0.25,2.59,3.75,4.86,0.577,0.33522,0.10878,0.21752899999999997,0.359471,0.28225524,0.05296475999999998,0.16249416299999997,0.055034836999999996,0.1786,0.178
3,Stephen Strasburg,0.37,0.5760000000000001,0.451,0.555,0.8270000000000001,0.691,0.391,0.632,0.139,10131,0.312,0.07200000000000001,0.24,0.264,4.11,3.55,2.85,0.591,0.22521600000000003,0.165784,0.21866999999999998,0.37233,0.18625363200000003,0.03896236799999999,0.12136185,0.09730814999999998,0.3041,0.19949999999999998
4,German Marquez,0.364,0.633,0.49200000000000005,0.484,0.8809999999999999,0.727,0.475,0.675,0.135,15038,0.23800000000000002,0.064,0.175,0.24100000000000002,2.25,3.37,3.4,0.569,0.30067499999999997,0.17432499999999998,0.20711599999999997,0.361884,0.26489467499999997,0.03578032500000003,0.10024414399999998,0.10687185599999999,0.28969999999999996,0.2088
5,Zack Greinke,0.363,0.562,0.436,0.73,0.92,0.82,0.368,0.602,0.079,1943,0.271,0.051,0.22,0.264,4.6,5.07,3.4,0.56,0.20681600000000003,0.16118399999999997,0.20328000000000002,0.35672000000000004,0.19027072000000003,0.016545279999999996,0.1483944,0.05488560000000001,0.1852,0.053200000000000004
6,Matt Shoemaker,0.36200000000000004,0.68,0.495,0.568,0.8490000000000001,0.73,0.419,0.685,0.134,4776,0.222,0.083,0.139,0.183,1.57,3.82,4.25,0.506,0.28492,0.13407999999999998,0.18317200000000003,0.32282799999999995,0.24189708000000004,0.04302291999999998,0.104041696,0.07913030400000003,0.23690000000000003,0.1666
7,Max Scherzer,0.361,0.703,0.523,0.45399999999999996,0.818,0.685,0.474,0.7190000000000001,0.16399999999999998,3137,0.326,0.037000000000000005,0.289,0.395,4.45,2.22,2.54,0.515,0.33322199999999996,0.14077800000000001,0.185915,0.329085,0.272575596,0.06064640400000001,0.08440540999999999,0.10150959000000001,0.269,0.2751
8,Justin Verlander,0.35700000000000004,0.7,0.511,0.637,0.7979999999999999,0.736,0.449,0.618,0.135,8700,0.309,0.073,0.23600000000000002,0.235,3.0,3.92,3.59,0.578,0.31429999999999997,0.13470000000000001,0.206346,0.371654,0.25081139999999996,0.06348860000000002,0.131442402,0.074903598,0.24580000000000002,0.16249999999999998
9,Joe Musgrove,0.35600000000000004,0.667,0.489,0.524,0.875,0.7290000000000001,0.42700000000000005,0.6459999999999999,0.133,12970,0.256,0.049,0.207,0.23199999999999998,0.81,1.88,3.67,0.603,0.28480900000000003,0.142191,0.21466800000000003,0.38833199999999995,0.24920787500000002,0.035601125000000004,0.11248603200000001,0.10218196800000001,0.2634,0.1766
10,Dylan Bundy,0.349,0.669,0.48,0.5329999999999999,0.87,0.726,0.41100000000000003,0.632,0.132,12917,0.245,0.094,0.151,0.295,6.56,6.3,5.25,0.537,0.27495900000000006,0.136041,0.187413,0.34958700000000004,0.23921433000000006,0.035744670000000006,0.09989112899999998,0.08752187100000001,0.2278,0.1997
11,Charlie Morton,0.345,0.586,0.45,0.517,0.862,0.7120000000000001,0.434,0.564,0.129,4676,0.309,0.109,0.2,0.28800000000000003,3.38,3.2,3.72,0.599,0.254324,0.179676,0.20665499999999998,0.392345,0.219227288,0.035096712,0.10684063499999999,0.09981436499999999,0.2887,0.18419999999999997
12,Madison Bumgarner,0.342,0.6609999999999999,0.485,0.611,0.873,0.772,0.45,0.746,0.111,5524,0.23800000000000002,0.04,0.198,0.25,3.66,3.9,3.71,0.497,0.29745,0.15255000000000005,0.16997400000000001,0.327026,0.25967385,0.03777615,0.10385411400000001,0.066119886,0.2212,0.18039999999999998
13,Jameson Taillon,0.342,0.6509999999999999,0.491,0.588,0.868,0.767,0.483,0.688,0.114,11674,0.184,0.055,0.128,0.263,3.12,3.36,3.82,0.607,0.31443299999999996,0.16856700000000005,0.207594,0.3994059999999999,0.272927844,0.041505155999999994,0.12206527199999999,0.08552872800000001,0.2974,0.1537
14,Blake Snell,0.341,0.615,0.45899999999999996,0.32899999999999996,0.758,0.5760000000000001,0.429,0.6629999999999999,0.195,13543,0.405,0.045,0.36,0.244,2.16,2.77,2.13,0.61,0.263835,0.165165,0.20801,0.40199,0.19998692999999998,0.06384806999999999,0.06843529,0.13957471000000002,0.33089999999999997,0.19060000000000005
